14171709460	19342117869	20221217033905	0774
18840172592	15781588029	20221217173834	1623
19342117869	17405139883	20221224013812	1873
16160892861	15781588029	20221230072731	1032
19565082510	18101213362	20221211115243	2526
19565082510	19342117869	20221227224355	2129
14930423697	15244749863	20221209051333	2318
19313925217	18840172592	20221228144727	2135
18840172592	17405139883	20221214170931	2352
19602240179	14171709460	20221229091616	1095
19154926260	18840172592	20221204023241	2838
19342117869	19313925217	20221205010349	2782
15244749863	19683537146	20221208234008	1289
18101213362	19683537146	20221217090237	1990
18101213362	19342117869	20221216011441	0722
14410679238	17885275338	20221225182342	1105
14171709460	19565082510	20221222083532	0014
16569963779	15647679901	20221220141408	2190
15280214634	19602240179	20221216004105	2537
15280214634	17405139883	20221210090926	2895
15781588029	17885275338	20221219061511	0624
17405139883	15781588029	20221229215135	0725
14397114174	18840172592	20221221052614	1055
13319935953	15781588029	20221219144540	2525
18101213362	18840172592	20221209151206	2065
14410679238	15647679901	20221204154043	1442
16160892861	16569963779	20221215023053	0775
17405139883	15884588694	20221213103746	1706
16569963779	19154926260	20221208122938	0359
16574556259	19154926260	20221206053801	2910
19342117869	16569963779	20221219234129	0199
18101213362	14171709460	20221227070500	1952
14410679238	15781588029	20221227043608	0153
15781588029	18101213362	20221217083913	2140
16160892861	15781588029	20221219162053	1706
15884588694	17336673697	20221215113640	0153
16569963779	14397114174	20221207171917	1851
15244749863	14171709460	20221222002037	2629
19602240179	19683537146	20221209040437	1152
16569963779	14397114174	20221230212825	2528
16574556259	15305526350	20221204114236	1730
15280214634	19683537146	20221225102431	0152
14397114174	15884588694	20221221034959	0844
14930423697	19342117869	20221203065112	2936
19154926260	19313925217	20221225053229	0221
15884588694	17405139883	20221216034740	0274
15781588029	19602240179	20221224034333	0191
19313925217	15647679901	20221203054359	2099
15305526350	17336673697	20221219035454	2813
16160892861	16569963779	20221222002322	0792
16569963779	16160892861	20221216183606	2464
15781588029	15647679901	20221209222642	2404
18840172592	15305526350	20221231023647	0431
16569963779	15884588694	20221211144500	1123
19602240179	16569963779	20221208052158	1410
15884588694	19565082510	20221230101902	0828
19683537146	15647679901	20221207192731	0391
16574556259	19565082510	20221208114046	2240
17885275338	15781588029	20221221043323	1369
15647679901	15884588694	20221215010456	2418
15781588029	19313925217	20221230082215	1521
16569963779	14397114174	20221209133635	0849
19342117869	15305526350	20221211225833	0553
14397114174	15305526350	20221203194301	2699
16569963779	18101213362	20221212015916	0868
15244749863	17885275338	20221204013539	0110
19683537146	18101213362	20221207041527	1593
14397114174	14930423697	20221230170642	0374
19154926260	18840172592	20221217153912	2819
17336673697	18101213362	20221221032107	1914
